kind;name;keywords
hard;КОМПАС 3D;компас
hard;КОМПАС 3D;аскон
hard;SolidWorks;solidworks
hard;SolidWorks;sw
hard;SolidWorks;солид
hard;SolidWorks;солиде
hard;AutoCAD;autocad
hard;AutoCAD;автокад
hard;CAD;кад
hard;CAD;кад системы
hard;CAD;кад-системы
hard;Работа с листовым материалом;листовой
hard;Работа с листовым материалом;листовым
hard;Работа с листовым материалом;лист
soft;Коммуникабельность;общительность
soft;Коммуникабельность;коммуникабельность
soft;Ответственность;ответственность 
soft;Ответственность;внимательность
soft;Стрессоустойчивость;стрессоустойчивость
soft;Стрессоустойчивость;сдержаность
