kind;name;keywords
hard;Продажи;продажа
hard;Продажи;продажи
hard;Продажи;активные продажи
hard;Консультирование;консультирование клиентов
hard;Консультирование;консультирование покупателей
hard;Консультирование;консультирование покупателей
hard;Консультирование;консультация клиентов
hard;Консультирование;обслуживание клиентов
hard;Касса;касса
hard;Касса;кассе
hard;Касса;кассовый аппарат
hard;Введение документации;введение документации
hard;Введение документации;заполнение необходимой документации
hard;Ведение учета товаров;ведение учета товаров
hard;Ведение учета товаров;работа со складом
hard;Ведение учета товаров;прием товара
hard;Ведение учета товаров;получение товара
hard;Работа с ПК;работа с ПК
hard;Работа с ПК;1С: Торговля
hard;Работа с ПК;MS Word
hard;Работа с ПК;MS Excel
hard;Мерчендайзинг;мерчендайзинг
hard;Мерчендайзинг;выкладка товара
hard;Мерчендайзинг;поддержание порядка
hard;Мерчендайзинг;поддержание чистоты
soft;Работа в команде;работа в команде
soft;Организованность;организованность
soft;Организованность;пунктуальность
soft;коммуникабельность;коммуникабельность
soft;коммуникабельность;грамотная речь
soft;коммуникабельность;коммуникативные навыки
soft;коммуникабельность;доброжелательность 
soft;Исполнительность;исполнительность
soft;Исполнительность;активность
soft;Стрессоустойчивость;стрессоустойчивость
soft;Ответственность;ответственность 
soft;Ответственность;внимательность
